k,f,x_re,x_im,X_re,X_im,|X(k)|
0,0,3,0,1.9984e-14,0,1.9984e-14
1,0.0490874,3.75092,0,-3.55271e-15,1.32255e-14,1.36944e-14
2,0.0981748,4.35657,0,192,-9.4369e-15,192
3,0.147262,4.71858,0,3.37508e-14,1.38223e-14,3.64715e-14
4,0.19635,4.77164,0,-3.06422e-14,7.60503e-15,3.15718e-14
5,0.245437,4.49352,0,-3.4639e-14,-1.18794e-14,3.66194e-14
6,0.294524,3.90862,0,-2.75335e-14,-6.10623e-15,2.82025e-14
7,0.343612,3.0844,0,-1.42109e-14,4.61853e-14,4.83221e-14
8,0.392699,2.12132,0,-2.30926e-14,-128,128
9,0.441786,1.13781,0,1.46549e-14,-8.77076e-15,1.7079e-14
10,0.490874,0.252497,0,3.70814e-14,2.73115e-14,4.60538e-14
11,0.539961,-0.433569,0,-6.39488e-14,2.77556e-14,6.97125e-14
12,0.589049,-0.85195,0,-1.77636e-14,-2.22045e-14,2.84356e-14
13,0.638136,-0.976905,0,5.83977e-14,1.95399e-14,6.15801e-14
14,0.687223,-0.828943,0,-7.06102e-14,-1.29452e-13,1.47457e-13
15,0.736311,-0.471315,0,-1.07025e-13,-4.24105e-14,1.15122e-13
16,0.785398,-3.06162e-16,0,4.28546e-14,1.88516e-13,1.93326e-13
17,0.834486,0.471315,0,-3.28626e-14,5.30687e-14,6.24198e-14
18,0.883573,0.828943,0,4.13003e-14,-2.19824e-14,4.67861e-14
19,0.93266,0.976905,0,-5.4845e-14,2.64233e-14,6.08783e-14
20,0.981748,0.85195,0,2.5091e-14,-1.11022e-14,2.74376e-14
21,1.03084,0.433569,0,-3.08642e-14,-6.26166e-14,6.981e-14
22,1.07992,-0.252497,0,-1.82077e-14,-4.88498e-15,1.88516e-14
23,1.12901,-1.13781,0,-1.4555e-13,1.46549e-14,1.46286e-13
24,1.1781,-2.12132,0,-1.22125e-15,9.37028e-14,9.37108e-14
25,1.22718,-3.0844,0,2.07612e-14,-1.37668e-14,2.49108e-14
