f [Hz], FR(kf0), FI(kf0), |F(kf0)|
0,3,0,3
0.000383495,3.75092,0,3.75092
0.00076699,4.35657,0,4.35657
0.00115049,4.71858,0,4.71858
0.00153398,4.77164,0,4.77164
0.00191748,4.49352,0,4.49352
0.00230097,3.90862,0,3.90862
0.00268447,3.0844,0,3.0844
0.00306796,2.12132,0,2.12132
0.00345146,1.13781,0,1.13781
0.00383495,0.252497,0,0.252497
0.00421845,-0.433569,0,0.433569
0.00460194,-0.85195,0,0.85195
0.00498544,-0.976905,0,0.976905
0.00536893,-0.828943,0,0.828943
0.00575243,-0.471315,0,0.471315
0.00613592,-3.06162e-16,0,3.06162e-16
0.00651942,0.471315,0,0.471315
0.00690291,0.828943,0,0.828943
0.00728641,0.976905,0,0.976905
0.0076699,0.85195,0,0.85195
0.0080534,0.433569,0,0.433569
0.00843689,-0.252497,0,0.252497
0.00882039,-1.13781,0,1.13781
0.00920388,-2.12132,0,2.12132
0.00958738,-3.0844,0,3.0844
0.00997088,-3.90862,0,3.90862
0.0103544,-4.49352,0,4.49352
0.0107379,-4.77164,0,4.77164
0.0111214,-4.71858,0,4.71858
0.0115049,-4.35657,0,4.35657
0.0118884,-3.75092,0,3.75092
0.0122718,-3,0,3
0.0126553,-2.22019,0,2.22019
0.0130388,-1.52814,0,1.52814
0.0134223,-1.02306,0,1.02306
0.0138058,-0.771639,0,0.771639
0.0141893,-0.798005,0,0.798005
0.0145728,-1.0802,0,1.0802
0.0149563,-1.55366,0,1.55366
0.0153398,-2.12132,0,2.12132
0.0157233,-2.66855,0,2.66855
0.0161068,-3.08092,0,3.08092
0.0164903,-3.26195,0,3.26195
0.0168738,-3.14805,0,3.14805
0.0172573,-2.71861,0,2.71861
0.0176408,-1.99948,0,1.99948
0.0180243,-1.05942,0,1.05942
0.0184078,-2.02067e-15,0,2.02067e-15
0.0187913,1.05942,0,1.05942
0.0191748,1.99948,0,1.99948
0.0195583,2.71861,0,2.71861
0.0199418,3.14805,0,3.14805
0.0203252,3.26195,0,3.26195
0.0207087,3.08092,0,3.08092
0.0210922,2.66855,0,2.66855
0.0214757,2.12132,0,2.12132
0.0218592,1.55366,0,1.55366
0.0222427,1.0802,0,1.0802
0.0226262,0.798005,0,0.798005
0.0230097,0.771639,0,0.771639
0.0233932,1.02306,0,1.02306
0.0237767,1.52814,0,1.52814
0.0241602,2.22019,0,2.22019
0.0245437,3,0,3
0.0249272,3.75092,0,3.75092
0.0253107,4.35657,0,4.35657
0.0256942,4.71858,0,4.71858
0.0260777,4.77164,0,4.77164
0.0264612,4.49352,0,4.49352
0.0268447,3.90862,0,3.90862
0.0272282,3.0844,0,3.0844
0.0276117,2.12132,0,2.12132
0.0279951,1.13781,0,1.13781
0.0283786,0.252497,0,0.252497
0.0287621,-0.433569,0,0.433569
0.0291456,-0.85195,0,0.85195
0.0295291,-0.976905,0,0.976905
0.0299126,-0.828943,0,0.828943
0.0302961,-0.471315,0,0.471315
0.0306796,-1.53081e-15,0,1.53081e-15
0.0310631,0.471315,0,0.471315
0.0314466,0.828943,0,0.828943
0.0318301,0.976905,0,0.976905
0.0322136,0.85195,0,0.85195
0.0325971,0.433569,0,0.433569
0.0329806,-0.252497,0,0.252497
0.0333641,-1.13781,0,1.13781
0.0337476,-2.12132,0,2.12132
0.0341311,-3.0844,0,3.0844
0.0345146,-3.90862,0,3.90862
0.0348981,-4.49352,0,4.49352
0.0352816,-4.77164,0,4.77164
0.0356651,-4.71858,0,4.71858
0.0360485,-4.35657,0,4.35657
0.036432,-3.75092,0,3.75092
0.0368155,-3,0,3
0.037199,-2.22019,0,2.22019
0.0375825,-1.52814,0,1.52814
0.037966,-1.02306,0,1.02306
0.0383495,-0.771639,0,0.771639
0.038733,-0.798005,0,0.798005
0.0391165,-1.0802,0,1.0802
0.0395,-1.55366,0,1.55366
0.0398835,-2.12132,0,2.12132
0.040267,-2.66855,0,2.66855
0.0406505,-3.08092,0,3.08092
0.041034,-3.26195,0,3.26195
0.0414175,-3.14805,0,3.14805
0.041801,-2.71861,0,2.71861
0.0421845,-1.99948,0,1.99948
0.042568,-1.05942,0,1.05942
0.0429515,-4.71489e-15,0,4.71489e-15
0.043335,1.05942,0,1.05942
0.0437185,1.99948,0,1.99948
0.0441019,2.71861,0,2.71861
0.0444854,3.14805,0,3.14805
0.0448689,3.26195,0,3.26195
0.0452524,3.08092,0,3.08092
0.0456359,2.66855,0,2.66855
0.0460194,2.12132,0,2.12132
0.0464029,1.55366,0,1.55366
0.0467864,1.0802,0,1.0802
0.0471699,0.798005,0,0.798005
0.0475534,0.771639,0,0.771639
0.0479369,1.02306,0,1.02306
0.0483204,1.52814,0,1.52814
0.0487039,2.22019,0,2.22019
0.0490874,3,0,3
0.0494709,3.75092,0,3.75092
0.0498544,4.35657,0,4.35657
0.0502379,4.71858,0,4.71858
0.0506214,4.77164,0,4.77164
0.0510049,4.49352,0,4.49352
0.0513884,3.90862,0,3.90862
0.0517719,3.0844,0,3.0844
0.0521553,2.12132,0,2.12132
